,Date,countyFIPS,StateFIPS,Cases,Death,Population,new_cases,new_deaths,Normalized cases,Normalized deaths,Log normalized cases,Log normalized deaths
0,2020-01-23,95465426,95140,1,0,328239523,0.0,0.0,0.0,0.0,0.0,0.0
1,2020-01-24,95465426,95140,2,0,328239523,1.0,0.0,0.007891525614195465,0.0,0.0,0.0
2,2020-01-25,95465426,95140,2,0,328239523,0.0,0.0,0.0,0.0,0.0,0.0
3,2020-01-26,95465426,95140,5,0,328239523,3.0,0.0,0.01880040981450882,0.0,0.0,0.0
4,2020-01-27,95465426,95140,6,0,328239523,1.0,0.0,0.0025308624118668293,0.0,0.0,0.0
5,2020-01-28,95465426,95140,6,0,328239523,0.0,0.0,0.0,0.0,0.0,0.0
6,2020-01-29,95465426,95140,7,0,328239523,1.0,0.0,0.0025308624118668293,0.0,0.0,0.0
7,2020-01-30,95465426,95140,7,0,328239523,0.0,0.0,0.0,0.0,0.0,0.0
8,2020-01-31,95465426,95140,8,0,328239523,1.0,0.0,0.007891525614195465,0.0,0.0,0.0
9,2020-02-01,95465426,95140,9,0,328239523,1.0,0.0,0.014508517442792551,0.0,0.0,0.0
10,2020-02-02,95465426,95140,9,0,328239523,0.0,0.0,0.0,0.0,0.0,0.0
11,2020-02-03,95465426,95140,11,0,328239523,2.0,0.0,0.005061724823733659,0.0,0.0,0.0
12,2020-02-04,95465426,95140,11,0,328239523,0.0,0.0,0.0,0.0,0.0,0.0
13,2020-02-05,95465426,95140,11,0,328239523,0.0,0.0,0.0,0.0,0.0,0.0
14,2020-02-06,95465426,95140,11,1,328239523,0.0,1.0,0.0,0.0025308624118668293,0.0,0.0
15,2020-02-07,95465426,95140,11,1,328239523,0.0,0.0,0.0,0.0,0.0,0.0
16,2020-02-08,95465426,95140,11,1,328239523,0.0,0.0,0.0,0.0,0.0,0.0
17,2020-02-09,95465426,95140,11,1,328239523,0.0,0.0,0.0,0.0,0.0,0.0
18,2020-02-10,95465426,95140,11,1,328239523,0.0,0.0,0.0,0.0,0.0,0.0
19,2020-02-11,95465426,95140,12,1,328239523,1.0,0.0,0.0025308624118668293,0.0,0.0,0.0
20,2020-02-12,95465426,95140,12,1,328239523,0.0,0.0,0.0,0.0,0.0,0.0
21,2020-02-13,95465426,95140,13,1,328239523,1.0,0.0,0.0025308624118668293,0.0,0.0,0.0
22,2020-02-14,95465426,95140,13,1,328239523,0.0,0.0,0.0,0.0,0.0,0.0
23,2020-02-15,95465426,95140,13,1,328239523,0.0,0.0,0.0,0.0,0.0,0.0
24,2020-02-16,95465426,95140,13,1,328239523,0.0,0.0,0.0,0.0,0.0,0.0
25,2020-02-17,95465426,95140,13,2,328239523,0.0,1.0,0.0,0.0025308624118668293,0.0,0.0
26,2020-02-18,95465426,95140,14,2,328239523,1.0,0.0,0.0025308624118668293,0.0,0.0,0.0
27,2020-02-19,95465426,95140,14,2,328239523,0.0,0.0,0.0,0.0,0.0,0.0
28,2020-02-20,95465426,95140,14,2,328239523,0.0,0.0,0.0,0.0,0.0,0.0
29,2020-02-21,95465426,95140,17,2,328239523,3.0,0.0,0.0075925872356004875,0.0,0.0,0.0
30,2020-02-22,95465426,95140,17,2,328239523,0.0,0.0,0.0,0.0,0.0,0.0
31,2020-02-23,95465426,95140,17,2,328239523,0.0,0.0,0.0,0.0,0.0,0.0
32,2020-02-24,95465426,95140,18,2,328239523,1.0,0.0,0.0025308624118668293,0.0,0.0,0.0
33,2020-02-25,95465426,95140,18,2,328239523,0.0,0.0,0.0,0.0,0.0,0.0
34,2020-02-26,95465426,95140,20,2,328239523,2.0,0.0,0.005061724823733659,0.0,0.0,0.0
35,2020-02-27,95465426,95140,21,2,328239523,1.0,0.0,0.0025308624118668293,0.0,0.0,0.0
36,2020-02-28,95465426,95140,23,2,328239523,2.0,0.0,0.005061724823733659,0.0,0.0,0.0
37,2020-02-29,95465426,95140,34,3,328239523,11.0,1.0,0.11262581172792649,0.013132160885254724,0.0,0.0
38,2020-03-01,95465426,95140,40,3,328239523,6.0,0.0,0.15481669687333877,0.0,0.0,0.0
39,2020-03-02,95465426,95140,62,8,328239523,22.0,5.0,0.3452203434925423,0.06566080442627362,0.0,0.0
40,2020-03-03,95465426,95140,81,9,328239523,19.0,1.0,0.2498784947507544,0.013132160885254724,0.0,0.0
41,2020-03-04,95465426,95140,116,13,328239523,35.0,4.0,0.23928202772147578,0.041927345067630996,0.0,0.0
42,2020-03-05,95465426,95140,182,14,328239523,66.0,1.0,0.5967341491555157,0.013132160885254724,0.0,0.0
43,2020-03-06,95465426,95140,231,19,328239523,49.0,5.0,0.5254685597402298,0.03810715219837349,0.0,0.0
44,2020-03-07,95465426,95140,355,22,328239523,124.0,3.0,1.1600463349366308,0.03939648265576417,0.0,0.0
45,2020-03-08,95465426,95140,471,25,328239523,116.0,3.0,1.7895321223189966,0.03939648265576417,0.0,0.0
46,2020-03-09,95465426,95140,730,31,328239523,259.0,6.0,3.033588207728259,0.06631799062839931,0.0,0.0
47,2020-03-10,95465426,95140,1005,34,328239523,275.0,3.0,3.7509287699295437,0.12870092829780544,0.3020379602018921,0.0
48,2020-03-11,95465426,95140,1234,40,328239523,229.0,6.0,3.5998928409528324,0.06819166683814044,0.0,0.0
49,2020-03-12,95465426,95140,1621,44,328239523,387.0,4.0,5.532623507174105,0.07000797365135755,0.07402821923650928,0.0
50,2020-03-13,95465426,95140,2150,51,328239523,529.0,7.0,6.594315014350972,0.09615788705824498,0.16711864230252133,0.0
51,2020-03-14,95465426,95140,2883,60,328239523,733.0,9.0,10.179124524532716,0.1112694620331702,0.38491449386453447,0.0
52,2020-03-15,95465426,95140,3449,67,328239523,566.0,7.0,6.436563301728015,0.08647850342539448,0.0,0.0
53,2020-03-16,95465426,95140,4358,92,328239523,909.0,25.0,14.633627940835622,0.2508510889916028,0.6430995482078017,0.0
54,2020-03-17,95465426,95140,6133,105,328239523,1775.0,13.0,23.09947316878257,0.12182551153380296,2.4804163680568245,0.0
55,2020-03-18,95465426,95140,8888,136,328239523,2755.0,31.0,26.67630817243856,0.42061843757909867,3.359336070998014,0.0
56,2020-03-19,95465426,95140,13752,176,328239523,4864.0,40.0,51.327075232908534,0.8066285576256816,9.483870696385159,0.0
57,2020-03-20,95465426,95140,18638,214,328239523,4886.0,38.0,51.36958477572867,0.6443033387143212,8.14728606835452,0.0
58,2020-03-21,95465426,95140,25790,267,328239523,7152.0,53.0,70.11700412097632,0.7087632246024087,13.225155124974439,0.0
59,2020-03-22,95465426,95140,32925,374,328239523,7135.0,107.0,75.8390117105519,0.9348014417534973,15.995628777758194,0.0
60,2020-03-23,95465426,95140,42732,513,328239523,9807.0,139.0,97.22413890041834,1.8593200833230485,19.467226129201453,0.0
61,2020-03-24,95465426,95140,52665,704,328239523,9933.0,191.0,113.15218474537113,1.7255621416643936,24.82434840735268,0.0
62,2020-03-25,95465426,95140,66854,951,328239523,14189.0,247.0,159.31319377312218,2.7925203132100793,36.67656971541005,0.0
63,2020-03-26,95465426,95140,82978,1206,328239523,16124.0,255.0,179.4053357270708,2.654013420547319,42.7115803804898,0.0
64,2020-03-27,95465426,95140,99421,1565,328239523,16443.0,359.0,191.7278304366261,4.618191403425628,49.96904018106495,0.0
65,2020-03-28,95465426,95140,119065,2083,328239523,19644.0,518.0,219.21602860595797,5.612651055775751,53.34043757681249,0.21832249502326317
66,2020-03-29,95465426,95140,136732,2350,328239523,17667.0,267.0,205.72515260472545,3.6529695394836166,50.24319961997192,0.0
67,2020-03-30,95465426,95140,157656,2798,328239523,20924.0,448.0,245.16443028457172,4.921002782309736,56.90645088667566,0.0
68,2020-03-31,95465426,95140,180943,3520,328239523,23287.0,722.0,288.09999866082586,8.916052690716839,64.39909517268659,0.18918391432100368
